"date","team","opponent","goals_scored","location","match_weight"
2013-09-22,"Myanmar","Vietnam",1,"H",1
2013-09-25,"China PR","New Zealand",0,"N",1
2013-09-25,"Mexico","Brazil",0,"N",1
2013-09-25,"Hungary","Denmark",0,"H",1
2013-09-26,"Japan","Nigeria",2,"H",1
2013-09-28,"Namibia","Swaziland",5,"H",1
2013-10-26,"Croatia","Slovakia",0,"H",3
2013-10-26,"Slovenia","Germany",0,"H",3
2013-10-26,"FYR Macedonia","Czech Republic",1,"H",3
2013-10-26,"Serbia","Denmark",1,"H",3
2013-10-26,"Bosnia and Herzegovina","Sweden",0,"H",3
2013-10-26,"Scotland","Northern Ireland",2,"H",3
2013-10-26,"Greece","Belgium",1,"H",3
2013-10-26,"Norway","Albania",7,"H",3
2013-10-26,"Portugal","Netherlands",0,"H",3
2013-10-26,"Belarus","Montenegro",3,"H",3
2013-10-26,"England","Wales",2,"H",3
2013-10-26,"Bulgaria","Kazakhstan",1,"H",3
2013-10-26,"Hungary","Austria",0,"H",3
2013-10-27,"Spain","Estonia",6,"H",3
2013-10-27,"Israel","Malta",2,"H",3
2013-10-30,"Slovenia","Republic of Ireland",0,"H",3
2013-10-30,"Germany","Croatia",4,"H",3
2013-10-30,"FYR Macedonia","Estonia",0,"H",3
2013-10-30,"Romania","Czech Republic",0,"H",3
2013-10-30,"Northern Ireland","Bosnia and Herzegovina",0,"H",3
2013-10-30,"Albania","Greece",1,"H",3
2013-10-30,"Netherlands","Norway",1,"H",3
2013-10-31,"Slovakia","Russia",0,"H",3
2013-10-31,"Spain","Italy",2,"H",3
2013-10-31,"Serbia","Iceland",1,"H",3
2013-10-31,"Denmark","Switzerland",0,"H",3
2013-10-31,"Poland","Scotland",0,"H",3
2013-10-31,"Sweden","Faroe Islands",5,"H",3
2013-10-31,"Belgium","Portugal",4,"H",3
2013-10-31,"Montenegro","Ukraine",1,"H",3
2013-10-31,"Turkey","England",0,"H",3
2013-10-31,"Finland","Kazakhstan",1,"H",3
2013-10-31,"Hungary","Bulgaria",4,"H",3
2013-10-31,"Austria","France",1,"H",3
2013-10-19,"Malaysia","Singapore",2,"H",1
2013-10-20,"USA","Australia",4,"H",2
2013-10-23,"Malaysia","Laos",1,"H",1
2013-10-24,"Qatar","Nepal",0,"H",1
2013-10-25,"France","Poland",6,"H",1
2013-10-25,"Malaysia","Laos",1,"H",1
2013-10-26,"Qatar","Nepal",0,"H",1
2013-10-27,"USA","New Zealand",4,"H",1
2013-10-30,"Canada","Korea Republic",3,"H",1
2013-10-30,"USA","New Zealand",1,"H",1
2013-11-01,"Lesotho","Zimbabwe",1,"H",1
2013-11-23,"Slovakia","Germany",0,"H",3
2013-11-23,"Spain","Romania",1,"H",3
2013-11-23,"Northern Ireland","Poland",0,"H",3
2013-11-23,"Netherlands","Greece",7,"H",3
2013-11-23,"Montenegro","Wales",0,"H",3
2013-11-23,"Hungary","Kazakhstan",4,"H",3
2013-11-23,"Bulgaria","France",0,"H",3
2013-11-24,"Malta","Denmark",0,"H",3
2013-11-24,"Israel","Serbia",3,"H",3
2013-11-27,"Croatia","Germany",0,"H",3
2013-11-27,"Spain","Czech Republic",3,"H",3
2013-11-28,"Turkey","Montenegro",3,"H",3
2013-11-28,"France","Bulgaria",14,"H",3
2013-11-01,"Lesotho","Zimbabwe",1,"H",1
2013-11-03,"Lesotho","Zimbabwe",1,"H",1
2013-11-03,"Qatar","Bahrain",0,"H",1
2013-11-05,"Qatar","Bahrain",0,"H",1
2013-11-10,"USA","Brazil",4,"H",2
2013-11-24,"Australia","China PR",2,"H",1
2013-11-24,"Canada","Mexico",0,"H",1
2013-11-27,"Australia","China PR",2,"H",1
2013-12-09,"Vietnam","Laos",11,"N",1
2013-12-10,"Myanmar","Philippines",2,"H",1
2013-12-12,"Laos","Malaysia",1,"N",1
2013-12-12,"Brazil","Chile",2,"H",1
2013-12-12,"Canada","Scotland",2,"N",1
2013-12-13,"Philippines","Vietnam",0,"N",1
2013-12-14,"Malaysia","Thailand",1,"N",1
2013-12-15,"Myanmar","Vietnam",0,"H",1
2013-12-15,"Brazil","Scotland",3,"H",1
2013-12-15,"Chile","Canada",1,"N",1
2013-12-16,"Thailand","Laos",5,"N",1
2013-12-18,"Vietnam","Malaysia",4,"N",1
2013-12-18,"Myanmar","Thailand",2,"H",1
2013-12-18,"Brazil","Canada",0,"H",2
2013-12-18,"Chile","Scotland",4,"N",1
2013-12-20,"Thailand","Vietnam",2,"N",1
2013-12-20,"Myanmar","Malaysia",6,"H",1
2013-12-21,"Zimbabwe","Lesotho",8,"H",1
2013-12-22,"Canada","Scotland",1,"N",1
2013-12-22,"Brazil","Chile",5,"H",1
2014-01-12,"China PR","Hong Kong",4,"H",1
2014-01-14,"Algeria","Senegal",1,"H",1
2014-01-14,"Portugal","Switzerland",1,"H",1
2014-01-14,"Spain","Norway",1,"H",1
2014-01-15,"Greece","Romania",0,"H",1
2014-01-16,"Portugal","Switzerland",1,"H",1
2014-01-17,"England","Norway",1,"N",1
2014-01-17,"Algeria","Senegal",3,"H",1
2014-01-22,"Egypt","Zimbabwe",3,"H",1
2014-01-25,"Egypt","Zimbabwe",1,"H",1
2014-01-31,"USA","Canada",1,"H",2
2014-02-12,"Israel","Switzerland",0,"H",3
2014-02-12,"Netherlands","Belgium",1,"H",3
2014-02-12,"Portugal","Albania",7,"H",3
2014-02-13,"Italy","Czech Republic",6,"H",3
2014-02-13,"Spain","FYR Macedonia",12,"H",3
2014-02-13,"Malta","Serbia",0,"H",3
2014-02-13,"Greece","Norway",0,"H",3
2014-02-13,"Turkey","Ukraine",0,"H",3
2014-02-14,"Zambia","Tanzania",2,"H",3
2014-02-14,"Algeria","Morocco",2,"H",3
2014-02-14,"Botswana","Zimbabwe",0,"H",3
2014-02-15,"C担te d'Ivoire","Mali",4,"H",3
2014-02-16,"Egypt","Tunisia",0,"H",3
2014-02-16,"Rwanda","Kenya",1,"H",3
2014-02-16,"Burkina Faso","Ghana",0,"H",3
2014-02-28,"Mali","C担te d'Ivoire",0,"H",3
2014-02-28,"Tanzania","Zambia",1,"H",3
2014-02-07,"Swaziland","Botswana",0,"H",1
2014-02-08,"Swaziland","Botswana",1,"H",1
2014-02-08,"France","Sweden",3,"H",2
2014-02-08,"Belgium","Poland",1,"H",1
2014-02-08,"USA","Russia",7,"H",1
2014-02-11,"China PR","New Zealand",1,"H",1
2014-02-11,"Korea DPR","Mexico",2,"N",1
2014-02-12,"Luxembourg","Poland",0,"H",1
2014-02-13,"China PR","Mexico",3,"H",1
2014-02-13,"New Zealand","Korea DPR",0,"N",1
2014-02-13,"Finland","Scotland",3,"H",1
2014-02-15,"China PR","Korea DPR",1,"H",1
2014-02-15,"Mexico","New Zealand",2,"N",1
2014-03-15,"Costa Rica","Venezuela",0,"N",NA
2014-03-15,"Italy","Zambia",2,"N",NA
2014-03-15,"Germany","Canada",2,"N",NA
2014-03-15,"Ghana","Korea DPR",2,"N",NA
2014-03-16,"New Zealand","Paraguay",1,"N",NA
2014-03-16,"Spain","Japan",0,"N",NA
2014-03-16,"Mexico","Colombia",4,"N",NA
2014-03-16,"China PR","Nigeria",1,"N",NA
2014-03-18,"Costa Rica","Italy",0,"N",NA
2014-03-18,"Venezuela","Zambia",4,"N",NA
2014-03-18,"Korea DPR","Canada",1,"N",NA
2014-03-18,"Ghana","Germany",1,"N",NA
2014-03-19,"Paraguay","Japan",0,"N",NA
2014-03-19,"New Zealand","Spain",0,"N",NA
2014-03-19,"Colombia","Nigeria",1,"N",NA
2014-03-19,"Mexico","China PR",4,"N",NA
2014-03-22,"Venezuela","Italy",1,"N",NA
2014-03-22,"Zambia","Costa Rica",2,"N",NA
2014-03-22,"Korea DPR","Germany",4,"N",NA
2014-03-22,"Canada","Ghana",2,"N",NA
2014-03-23,"Japan","New Zealand",3,"N",NA
2014-03-23,"Paraguay","Spain",1,"N",NA
2014-03-23,"Nigeria","Mexico",3,"N",NA
2014-03-23,"Colombia","China PR",1,"N",NA
2014-03-27,"Nigeria","Spain",0,"N",NA
2014-03-27,"Venezuela","Canada",3,"N",NA
2014-03-27,"Ghana","Italy",2,"N",NA
2014-03-27,"Japan","Mexico",2,"N",NA
2014-03-31,"Italy","Spain",0,"N",NA
2014-03-31,"Venezuela","Japan",1,"N",NA
2014-03-01,"Ghana","Burkina Faso",3,"H",3
2014-03-01,"Morocco","Algeria",0,"H",3
2014-03-01,"Tunisia","Egypt",2,"H",3
2014-03-02,"Kenya","Rwanda",2,"H",3
2014-03-02,"Zimbabwe","Botswana",2,"H",3
2014-03-01,"Estonia","Latvia",8,"H",1
2014-03-03,"Northern Ireland","Estonia",1,"H",1
2014-03-05,"Northern Ireland","Estonia",1,"H",1
2014-03-05,"New Zealand","Republic of Ireland",1,"N",1
2014-03-05,"Sweden","Denmark",2,"N",1
2014-03-05,"Portugal","Austria",3,"H",1
2014-03-05,"Germany","Iceland",5,"N",1
2014-03-05,"Japan","USA",1,"N",2
2014-03-05,"Switzerland","Korea Republic",1,"N",1
2014-03-05,"Netherlands","Australia",2,"N",1
2014-03-05,"Canada","Finland",3,"N",1
2014-03-05,"England","Italy",2,"N",1
2014-03-05,"France","Scotland",1,"N",1
2014-03-05,"Russia","Korea DPR",1,"N",1
2014-03-05,"Norway","China PR",0,"N",1
2014-03-06,"Chinese Taipei","Slovakia",5,"N",1
2014-03-06,"Bosnia and Herzegovina","Slovenia",1,"H",1
2014-03-07,"Switzerland","New Zealand",2,"N",1
2014-03-07,"Croatia","Hungary",2,"H",1
2014-03-07,"Republic of Ireland","Korea Republic",1,"N",1
2014-03-07,"Japan","Denmark",1,"N",1
2014-03-07,"Sweden","USA",1,"N",2
2014-03-07,"Germany","China PR",1,"N",1
2014-03-07,"Portugal","Russia",1,"H",1
2014-03-07,"Wales","Romania",1,"H",1
2014-03-07,"Finland","England",0,"N",1
2014-03-07,"Scotland","Netherlands",4,"N",1
2014-03-07,"Norway","Iceland",1,"N",1
2014-03-07,"Australia","France",2,"N",2
2014-03-07,"Italy","Canada",1,"N",1
2014-03-07,"Austria","Korea DPR",0,"N",1
2014-03-08,"Belarus","Slovakia",2,"N",1
2014-03-08,"Chile","Argentina",1,"H",1
2014-03-08,"Colombia","Venezuela",0,"N",1
2014-03-08,"Brazil","Uruguay",0,"N",1
2014-03-08,"Sierra Leone","Liberia",0,"H",1
2014-03-09,"Croatia","Poland",1,"H",1
2014-03-09,"Wales","Romania",0,"H",1
2014-03-10,"Norway","Germany",1,"N",2
2014-03-10,"Japan","Sweden",2,"N",2
2014-03-10,"USA","Denmark",3,"N",1
2014-03-10,"Switzerland","Republic of Ireland",1,"N",1
2014-03-10,"Korea Republic","New Zealand",4,"N",1
2014-03-10,"Brazil","Venezuela",5,"N",1
2014-03-10,"Belarus","Chinese Taipei",0,"N",1
2014-03-10,"Argentina","Bolivia",4,"N",1
2014-03-10,"Colombia","Uruguay",2,"N",1
2014-03-10,"Italy","Finland",1,"N",1
2014-03-10,"England","Canada",2,"N",1
2014-03-10,"Australia","Scotland",2,"N",1
2014-03-10,"Netherlands","France",0,"N",1
2014-03-10,"Portugal","Korea DPR",0,"H",1
2014-03-10,"China PR","Iceland",0,"N",1
2014-03-10,"Austria","Russia",3,"N",1
2014-03-11,"Poland","Hungary",1,"N",1
2014-03-12,"Brazil","Colombia",2,"N",1
2014-03-12,"Uruguay","Venezuela",0,"N",1
2014-03-12,"Greece","Cyprus",3,"H",1
2014-03-12,"USA","Korea DPR",3,"N",2
2014-03-12,"China PR","Denmark",1,"N",1
2014-03-12,"Portugal","Austria",1,"H",1
2014-03-12,"Germany","Japan",3,"N",2
2014-03-12,"Norway","Russia",0,"N",1
2014-03-12,"Australia","Italy",5,"N",1
2014-03-12,"New Zealand","Finland",1,"N",1
2014-03-12,"Switzerland","Netherlands",1,"N",1
2014-03-12,"Iceland","Sweden",2,"N",1
2014-03-12,"Canada","Republic of Ireland",2,"N",1
2014-03-12,"Korea Republic","Scotland",1,"N",1
2014-03-12,"England","France",0,"N",1
2014-03-12,"Chile","Bolivia",2,"H",1
2014-03-14,"Brazil","Argentina",0,"N",1
2014-03-14,"Chile","Venezuela",0,"H",1
2014-03-16,"Chile","Argentina",1,"H",1
2014-03-16,"Venezuela","Brazil",0,"N",1
2014-03-21,"Namibia","Ghana",1,"H",1
2014-03-25,"Namibia","Ghana",0,"H",1
2014-03-30,"Namibia","Ethiopia",1,"H",1
2014-04-04,"Venezuela","Italy",4,"N",NA
2014-04-04,"Japan","Spain",2,"N",NA
2014-04-04,"Turkey","Wales",1,"H",3
2014-04-05,"Republic of Ireland","Germany",2,"H",3
2014-04-05,"Russia","Slovenia",4,"H",3
2014-04-05,"Italy","Spain",0,"H",3
2014-04-05,"Israel","Iceland",0,"H",3
2014-04-05,"Switzerland","Malta",11,"H",3
2014-04-05,"Scotland","Poland",2,"H",3
2014-04-05,"Faroe Islands","Bosnia and Herzegovina",1,"H",3
2014-04-05,"Northern Ireland","Sweden",0,"H",3
2014-04-05,"Albania","Belgium",0,"H",3
